"Bronze","Silver","Gold","Total"
13.9554166249978,13.9554166249977,13.9554166249978,13.9554166249979
6.76485751429269,6.76485751429265,6.76485751429268,6.76485751429273
15.7363438707915,15.7363438707914,15.7363438707914,15.7363438707916
13.1284893331872,13.1284893331872,13.1284893331872,13.1284893331873
1.80153702264913,1.80153702264913,1.80153702264913,1.80153702264913
1.4434104076353,1.4434104076353,1.4434104076353,1.4434104076353
1.35317243065445,1.35317243065446,1.35317243065445,1.35317243065445
6.27696629932481,6.27696629932478,6.2769662993248,6.27696629932485
8.39803486930083,8.39803486930079,8.39803486930082,8.39803486930087
6.87263319905755,6.87263319905753,6.87263319905755,6.87263319905759
12.4043135584941,12.4043135584941,12.4043135584941,12.4043135584941
2.18373781722669,2.18373781722669,2.18373781722669,2.18373781722669
